"Etablissement","Code_etablissement","Code_commune","Secteur","Effectif","Taux_reussite","Filiere"
"LYCEE ANDRE CHAMSON (GENERAL ET TECHNO.)","0300052U","30350","PU",50,92,"S"
"LYCEE GENEVIEVE DE GAULLE-ANTHONIOZ (GENERAL ET TECHNO.)","0301654K","30169","PU",107,91,"S"
"LYCEE ALBERT CAMUS","0300023M","30189","PU",160,92,"S"
"LYCEE ALPHONSE DAUDET","0300021K","30189","PU",244,95,"S"
"LYCEE DHUODA","0300026R","30189","PU",86,88,"S"
"LYCEE EMMANUEL D ALZON (GENERAL ET TECHNO.)","0300080Z","30189","PR",165,93,"S"
"LYCEE ERNEST HEMINGWAY (GENERAL ET TECHNO.)","0300027S","30189","PU",64,72,"S"
"LYCEE PHILIPPE LAMOUR","0301552Z","30189","PU",143,89,"S"
"LYCEE SAINT STANISLAS - SACRE COEUR","0300083C","30189","PR",38,74,"S"
"LYCEE JACQUES PREVERT (GENERAL ET TECHNO.)","0301778V","30243","PU",78,95,"S"
"LYCEE CHARLES GIDE","0300046M","30334","PU",115,96,"S"
"LYCEE JEAN VILAR","0301722J","30351","PU",182,88,"S"
"LYCEE AUGUSTE LOUBATIERES (GENERAL ET TECHNO.)","0340002T","34003","PU",109,94,"S"
"LYCEE FERDINAND FABRE","0340005W","34028","PU",40,98,"S"
"LYCEE HENRI IV","0340009A","34032","PU",126,90,"S"
"LYCEE JEAN MOULIN (GENERAL ET TECHNO.)","0340011C","34032","PU",141,82,"S"
"LYCEE LA TRINITE","0340871M","34032","PR",69,99,"S"
"LYCEE GEORGES POMPIDOU (GENERAL ET TECHNO.)","0341921D","34057","PU",185,97,"S"
"LYCEE RENE GOSSE","0340023R","34079","PU",95,92,"S"
"LYCEE LA MERCI LITTORAL (GENERAL ET TECHNO.)","0342175E","34344","PR",55,95,"S"
"LYCEE JEAN-FRANCOIS CHAMPOLLION (GENERAL ET TECHNO.)","0341794R","34129","PU",172,86,"S"
"LYCEE JOSEPH VALLOT (GENERAL ET TECHNO.)","0340028W","34142","PU",87,94,"S"
"LYCEE LOUIS FEUILLADE (GENERAL ET TECHNO.)","0340030Y","34145","PU",90,87,"S"
"LYCEE VICTOR HUGO (GENERAL ET TECHNO.)","0342090M","34145","PU",153,84,"S"
"LYCEE ST JOSEPH PIERRE ROUGE (GENERAL ET TECHNO.)","0341521U","34169","PR",45,84,"S"
"LYCEE GEORGES CLEMENCEAU","0340039H","34172","PU",159,84,"S"
"LYCEE INTERNAT D'EXCELLENCE","0342266D","34172","PU",13,92,"S"
"LYCEE JEAN MERMOZ (GENERAL ET TECHNO.)","0340042L","34172","PU",232,81,"S"
"LYCEE JEAN MONNET","0341736C","34172","PU",139,83,"S"
"LYCEE JOFFRE","0340038G","34172","PU",278,98,"S"
"LYCEE JULES GUESDE (GENERAL ET TECHNO.)","0340040J","34172","PU",138,91,"S"
"LYCEE NEVERS (GENERAL ET TECHNO.)","0340991T","34172","PR",126,97,"S"
"LYCEE NOTRE DAME DE LA MERCI","0340881Y","34172","PR",191,99,"S"
"LYCEE RABELAIS","0341765J","34172","PR",21,86,"S"
"LYCEE JEAN MOULIN","0340059E","34199","PU",175,85,"S"
"LYCEE MARC BLOCH (GENERAL ET TECHNO.)","0342091N","34299","PU",99,85,"S"
"LYCEE IRENE ET FREDERIC JOLIOT CURIE","0340076Y","34301","PU",106,87,"S"
"LYCEE PAUL VALERY","0340075X","34301","PU",82,95,"S"
"LYCEE SAINT-JOSEPH (GENERAL ET TECHNO.)","0341523W","34301","PR",40,100,"S"
"LYCEE JEAN JAURES (GENERAL ET TECHNO.)","0342066L","34247","PU",173,98,"S"
"LYCEE SAINT PIERRE-SAINT PAUL (GENERAL ET TECHNO.)","0480022N","48080","PR",19,95,"S"
"LYCEE SAINT-JOSEPH","0480023P","48092","PR",27,93,"S"
"LYCEE CHAPTAL","0480007X","48095","PU",63,95,"S"
"LYCEE EMILE PEYTAVIN","0480009Z","48095","PU",23,100,"S"
"LYCEE NOTRE-DAME (GENERAL ET TECHNO.)","0480025S","48095","PR",32,91,"S"
"LYCEE THEOPHILE ROUSSEL (GENERAL ET TECHNO.)","0480688M","48140","PU",36,100,"S"
"LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.)","0660856X","66037","PU",98,92,"S"
"LYCEE DEODAT DE SEVERAC (GENERAL ET TECHNO.)","0660004W","66049","PU",96,97,"S"
"LYCEE ET SPORTIF PIERRE DE COUBERTIN","0660057D","66124","PU",60,95,"S"
"LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.)","0660809W","66136","PU",130,89,"S"
